;Target_CI
551;0.5782370977006267
552;0.5782370977006267
553;0.599950545279931
554;0.6200960971832429
555;0.6320514422797018
556;0.5653448980903163
557;0.5846166900763652
558;0.4233477523018669
559;0.5648916751751052
560;0.5337210015859611
561;0.4953518415853855
562;0.5481916245953964
563;0.5557063806452297
564;0.5586386960720197
565;0.6054585220661641
566;0.4188730177704271
567;0.47706097026996375
568;0.44514053624090183
569;0.5863548759996431
570;0.5669307978775591
571;0.5971977198096796
572;0.6095047531342022
573;0.5190609892289924
574;0.5323071149835585
575;0.5484883839967907
576;0.6288949167087774
577;0.5893608821926996
578;0.5836818376981544
579;0.5999742138503826
580;0.631416144729053
581;0.6011391383494402
582;0.5952145629040452
583;0.597221576875954
584;0.554980974553438
585;0.5270321013520769
586;0.6330630871913857
587;0.6153552650832304
588;0.6231734928790212
589;0.5454789554027893
590;0.5893608821926996
591;0.6084146405431035
592;0.6084146405431035
593;0.6307063473549556
594;0.6310112996054213
595;0.6072385843022958
596;0.6087175998073647
597;0.5301965180895212
598;0.6403709130720934
599;0.6420240521251871
600;0.673498753140076
601;0.6765973347559957
602;0.5848850389275572
603;0.6048005305737457
604;0.6527478285170544
605;0.5968859176619157
606;0.5894725928768607
607;0.6063228375808551
608;0.568808777126592
609;0.6026417811264148
610;0.598351670686815
611;0.598351670686815
612;0.5889109562783047
613;0.5552332478365019
614;0.5793676538601884
615;0.5781293652539886
616;0.5798036511572678
617;0.5750655776566833
618;0.5707108249643075
619;0.5707108249643075
620;0.5750655776566833
621;0.6453586832122249
622;0.6121959286551997
623;0.5667435663507602
624;0.6290456339049828
625;0.6022529700896361
626;0.64532662181253
627;0.64532662181253
628;0.64532662181253
629;0.64532662181253
630;0.64532662181253
631;0.5992776552440573
632;0.639709979859495
633;0.6401702778125071
634;0.6479220049884021
635;0.5709649757451509
636;0.6153882624067997
637;0.6276808626567842
638;0.5360723041118839
639;0.5493398233856357
640;0.6088232920764193
641;0.6092776763647266
642;0.5720103114264811
643;0.5614221916783536
644;0.7231783804231402
645;0.7130419922452041
646;0.6711610442581794
647;0.657932287244974
648;0.6546453594026775
649;0.6325998712085167
650;0.6869646444326324
651;0.5886091454411345
652;0.6623048840550588
653;0.7263071594878583
654;0.7349466076304029
655;0.6869694797050019
656;0.6361023399821889
657;0.6361097816612756
658;0.6347803632822616
659;0.6215855847533694
660;0.4496351716621824
661;0.6875586767369262
662;0.6984914135665653
663;0.6816584153447786
664;0.6162452257469112
665;0.6252151227186301
666;0.6089304985125289
667;0.6784424612377897
668;0.7712061496497951
669;0.7712061496497951
670;0.7712061496497951
671;0.7712061496497951
672;0.7712061496497951
673;0.7712061496497951
674;0.6628127015952547
675;0.4652480276471155
676;0.5431590999918421
677;0.6062819752082758
678;0.7096408689375359
679;0.6955022644365784
680;0.6394975225382223
681;0.7237321653953763
682;0.6994256290722975
683;0.7134888416231157
684;0.7438707095106526
685;0.7418630392458071
686;0.7418630392458071
687;0.7342503262638632
688;0.7418630392458071
689;0.7342503262638632
690;0.7342503262638632
691;0.7232567005052682
692;0.7232567005052682
693;0.757902256225007
694;0.757902256225007
695;0.757902256225007
696;0.757902256225007
697;0.757902256225007
698;0.757902256225007
699;0.7635734145463887
700;0.7635734145463887
701;0.7635734145463887
702;0.7635734145463887
703;0.6665515646207462
704;0.6465870683010138
705;0.7658134182930234
706;0.7658134182930234
707;0.7658134182930234
708;0.7561411966838437
709;0.7614341026624747
710;0.7089053679689641
711;0.6793982894023844
712;0.6538558654540181
713;0.7016431726631167
714;0.7157717288919255
715;0.7431669266096631
716;0.7393499515210474
717;0.7208662774921902
718;0.7251176806632446
719;0.7626034435047075
720;0.758456094683973
721;0.7738061791523909
722;0.7484011851156243
723;0.7484011851156243
724;0.7484011851156243
725;0.7740534070875622
726;0.7376605530491468
727;0.7376605530491468
728;0.7592480493387667
729;0.7592480493387667
730;0.7776083610875467
731;0.7776083610875467
732;0.7749337509421685
733;0.7530108580499313
734;0.7371505496554669
735;0.7822670497127369
736;0.688045014691277
737;0.749292167113047
738;0.7442998814269544
739;0.6261724091342571
740;0.7182133774820835
741;0.6971971995406849
742;0.6812516990446342
743;0.7671546333974568
744;0.7427826340129423
745;0.7427826340129423
746;0.7676584813567782
747;0.7676584813567782
748;0.7661941417629813
749;0.7828744932817074
750;0.7828744932817074
751;0.7828744932817074
752;0.7445083478268754
753;0.7445083478268754
754;0.6908142512536124
755;0.6012729936065111
756;0.7622054304290664
757;0.7729100106490991
758;0.7469723155753332
759;0.7625746754032662
760;0.7692110763182287
761;0.5915935908432656
762;0.6534865214094083
763;0.6888411061214932
764;0.5632930475187256
765;0.6031860710369451
766;0.6421958151105586
767;0.6638309788188772
768;0.6725342626785831
769;0.6754864550582621
770;0.5979973267459859
771;0.6714624161266296
772;0.7243284738254354
773;0.7182255514726237
774;0.7383726761968152
775;0.737426357492551
776;0.7416889517831002
777;0.5525996003125047
778;0.7332189557726058
779;0.7454626048125311
780;0.7440313926068057
781;0.7411719995550551
782;0.6785132526741899
783;0.550506144243216
784;0.550506144243216
785;0.550506144243216
786;0.550506144243216
787;0.7405012367065318
788;0.7405012367065318
789;0.7405012367065318
790;0.7405012367065318
791;0.7000238195994181
792;0.7000238195994181
793;0.7000238195994181
794;0.7000238195994181
795;0.7275288168232141
796;0.7275288168232141
797;0.7275288168232141
798;0.7275288168232141
799;0.7182421679272147
800;0.676601746736726
801;0.600990807447031
802;0.7390402334467985
803;0.7586855602135387
804;0.7529116564891523
805;0.7334237794613848
806;0.7426434861247271
807;0.7469574498747371
808;0.7485886414615845
809;0.7415732650630594
810;0.48368878181575714
811;0.7341516107396405
812;0.7403175681334944
813;0.7270295848910412
814;0.7592704055979757
815;0.7689597905681748
816;0.7498635051476538
817;0.7541127203584089
818;0.7541127203584089
819;0.7522463080371982
820;0.7515317426497086
821;0.768074163409342
822;0.7677636912537601
823;0.7569294603715101
824;0.7449780624612565
825;0.7483781277897141
826;0.7557001800579632
827;0.7557001800579632
828;0.7701350790676871
829;0.751964428040566
830;0.7543611288138957
831;0.757707480486814
832;0.7518240765191794
833;0.7518240765191794
834;0.766935334152352
835;0.766935334152352
836;0.7425217529540082
837;0.7425217529540082
838;0.7374088917165569
839;0.7374088917165569
840;0.5520353838600056
841;0.6317017013298962
842;0.7099864450265206
843;0.6411542180218407
844;0.7039204028918493
845;0.7334224174346307
846;0.6544664376046126
847;0.7195385827968594
848;0.6365621057935822
849;0.7373182006499907
850;0.748304606549366
851;0.7327145473609948
852;0.7329010979945224
853;0.765833100105022
854;0.7817816047784946
855;0.7482401366089929
856;0.7797599135594895
857;0.7391776042606574
858;0.7445083478268754
859;0.6454476007580469
860;0.520154002344495
861;0.6454476007580469
862;0.520154002344495
863;0.7295045411199894
864;0.7463748708420759
865;0.7324654170151349
866;0.7040701558374796
867;0.633162350039218
868;0.7365070475296827
869;0.7365070475296827
870;0.7243961119437073
871;0.7253737632938424
872;0.7173735644300918
873;0.6995826369770631
874;0.6995826369770631
875;0.6995826369770631
876;0.6995826369770631
877;0.7421634377113255
878;0.7349659868953193
879;0.7281493388036447
880;0.7574501614092195
881;0.7574501614092195
882;0.7408761023800103
883;0.7574501614092195
884;0.6116903568808947
885;0.7169247341913071
886;0.7476717219502271
887;0.7233851975843093
888;0.7128098308719695
889;0.7485886414615845
890;0.7478958117073622
891;0.7357030687826364
892;0.7194613799987154
893;0.6750413230445735
894;0.7397306286396238
895;0.7194613799987154
896;0.7397306286396238
897;0.7767341488171047
898;0.7767341488171047
899;0.7617122285062452
900;0.7668543272442758
901;0.7839964219224547
902;0.778837546387986
903;0.7748279789501843
904;0.7797413552770961
905;0.7839964219224547
906;0.7713750179420825
907;0.6581865647106296
908;0.7217415375069302
909;0.6887197745968943
910;0.6469660562627024
911;0.6297616141996796
912;0.7234236806907023
913;0.7394186514286134
914;0.7578856122735532
915;0.7589970233439449
916;0.7562978234929528
917;0.7409444786424833
918;0.7107714318018596
919;0.7422935082090336
920;0.7179968978106875
921;0.7184514142291347
922;0.5914069738616093
923;0.6993242819734119
924;0.7187596776026333
925;0.7633963418747064
926;0.7633963418747064
927;0.7633963418747064
928;0.7633963418747064
929;0.7674823869874406
930;0.7674823869874406
931;0.7674823869874406
932;0.7674823869874406
933;0.7083486377388154
934;0.7586618297857697
935;0.6747329345684797
936;0.6891736701413069
937;0.7790455836048256
938;0.7790455836048256
939;0.7086440319353622
940;0.6999420944238357
941;0.724024419184686
942;0.724024419184686
943;0.5822519808447741
944;0.7431042298273887
945;0.6656297321179818
946;0.7790058717035749
947;0.7094701472850834
948;0.5999043003226523
949;0.7530111430707609
950;0.7530111430707609
951;0.7839964219224547
952;0.7855112790762311
953;0.784566452819077
954;0.7837404702958412
955;0.7822212081554203
956;0.7271968091841647
957;0.7222800166402454
958;0.7199590350581729
959;0.7078639304461396
960;0.7078639304461396
961;0.7222800166402454
962;0.7271968091841647
963;0.703792184988873
964;0.7397154191266028
965;0.7338170371613199
966;0.758756079988164
967;0.7424453095493326
968;0.7420376954861607
969;0.7514518002691237
970;0.7420376954861607
971;0.7514518002691237
972;0.7581038758877944
973;0.6867229134418559
974;0.7466069125358117
975;0.7581038758877944
976;0.7432139302844919
977;0.751803965927509
978;0.7774352188815097
979;0.776645615234302
980;0.7631453566305783
981;0.7683055929692026
982;0.7797697742780844
983;0.7357511044209923
984;0.7292848509218034
985;0.7732956844851809
986;0.7732956844851809
987;0.7474413464244758
988;0.7522472461149982
989;0.7474413464244758
990;0.7522472461149982
991;0.7757968900011047
992;0.7719150091468184
993;0.6600103027859657
